"Kod";"Nazwa";"Współczynniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
020811400000;"PODREGION ZIELONOGÓRSKI";"dzietność";"2021";1,325;"-";"";
020811400000;"PODREGION ZIELONOGÓRSKI";"dzietność";"2022";;"-";"n";
023015700000;"PODREGION KALISKI";"dzietność";"2002";1,355;"-";"";
023015700000;"PODREGION KALISKI";"dzietność";"2003";1,301;"-";"";
023015700000;"PODREGION KALISKI";"dzietność";"2004";1,267;"-";"";
023015700000;"PODREGION KALISKI";"dzietność";"2005";1,355;"-";"";
023015700000;"PODREGION KALISKI";"dzietność";"2006";1,350;"-";"";
023015700000;"PODREGION KALISKI";"dzietność";"2007";1,382;"-";"";
023015700000;"PODREGION KALISKI";"dzietność";"2008";1,472;"-";"";
023015700000;"PODREGION KALISKI";"dzietność";"2009";1,465;"-";"";
023015700000;"PODREGION KALISKI";"dzietność";"2010";1,471;"-";"";
023015700000;"PODREGION KALISKI";"dzietność";"2011";1,379;"-";"";
023015700000;"PODREGION KALISKI";"dzietność";"2012";1,356;"-";"";
023015700000;"PODREGION KALISKI";"dzietność";"2013";1,363;"-";"";
023015700000;"PODREGION KALISKI";"dzietność";"2014";1,394;"-";"";
023015700000;"PODREGION KALISKI";"dzietność";"2015";1,385;"-";"";
023015700000;"PODREGION KALISKI";"dzietność";"2016";1,432;"-";"";
023015700000;"PODREGION KALISKI";"dzietność";"2017";1,538;"-";"";
023015700000;"PODREGION KALISKI";"dzietność";"2018";1,481;"-";"";
023015700000;"PODREGION KALISKI";"dzietność";"2019";1,475;"-";"";
023015700000;"PODREGION KALISKI";"dzietność";"2020";1,502;"-";"";
023015700000;"PODREGION KALISKI";"dzietność";"2021";1,471;"-";"";
023015700000;"PODREGION KALISKI";"dzietność";"2022";;"-";"n";
023015800000;"PODREGION KONIŃSKI";"dzietność";"2002";1,360;"-";"";
023015800000;"PODREGION KONIŃSKI";"dzietność";"2003";1,289;"-";"";
023015800000;"PODREGION KONIŃSKI";"dzietność";"2004";1,302;"-";"";
023015800000;"PODREGION KONIŃSKI";"dzietność";"2005";1,327;"-";"";
023015800000;"PODREGION KONIŃSKI";"dzietność";"2006";1,368;"-";"";
023015800000;"PODREGION KONIŃSKI";"dzietność";"2007";1,422;"-";"";
023015800000;"PODREGION KONIŃSKI";"dzietność";"2008";1,509;"-";"";
023015800000;"PODREGION KONIŃSKI";"dzietność";"2009";1,501;"-";"";
023015800000;"PODREGION KONIŃSKI";"dzietność";"2010";1,500;"-";"";
023015800000;"PODREGION KONIŃSKI";"dzietność";"2011";1,388;"-";"";
023015800000;"PODREGION KONIŃSKI";"dzietność";"2012";1,403;"-";"";
023015800000;"PODREGION KONIŃSKI";"dzietność";"2013";1,328;"-";"";
023015800000;"PODREGION KONIŃSKI";"dzietność";"2014";1,371;"-";"";
023015800000;"PODREGION KONIŃSKI";"dzietność";"2015";1,317;"-";"";
023015800000;"PODREGION KONIŃSKI";"dzietność";"2016";1,388;"-";"";
023015800000;"PODREGION KONIŃSKI";"dzietność";"2017";1,456;"-";"";
023015800000;"PODREGION KONIŃSKI";"dzietność";"2018";1,450;"-";"";
023015800000;"PODREGION KONIŃSKI";"dzietność";"2019";1,439;"-";"";
023015800000;"PODREGION KONIŃSKI";"dzietność";"2020";1,458;"-";"";
023015800000;"PODREGION KONIŃSKI";"dzietność";"2021";1,410;"-";"";
023015800000;"PODREGION KONIŃSKI";"dzietność";"2022";;"-";"n";
023015900000;"PODREGION LESZCZYŃSKI";"dzietność";"2002";1,389;"-";"";
023015900000;"PODREGION LESZCZYŃSKI";"dzietność";"2003";1,403;"-";"";
023015900000;"PODREGION LESZCZYŃSKI";"dzietność";"2004";1,356;"-";"";
023015900000;"PODREGION LESZCZYŃSKI";"dzietność";"2005";1,404;"-";"";
023015900000;"PODREGION LESZCZYŃSKI";"dzietność";"2006";1,410;"-";"";
023015900000;"PODREGION LESZCZYŃSKI";"dzietność";"2007";1,461;"-";"";
023015900000;"PODREGION LESZCZYŃSKI";"dzietność";"2008";1,567;"-";"";
023015900000;"PODREGION LESZCZYŃSKI";"dzietność";"2009";1,550;"-";"";
023015900000;"PODREGION LESZCZYŃSKI";"dzietność";"2010";1,578;"-";"";
023015900000;"PODREGION LESZCZYŃSKI";"dzietność";"2011";1,454;"-";"";
023015900000;"PODREGION LESZCZYŃSKI";"dzietność";"2012";1,452;"-";"";
023015900000;"PODREGION LESZCZYŃSKI";"dzietność";"2013";1,423;"-";"";
023015900000;"PODREGION LESZCZYŃSKI";"dzietność";"2014";1,454;"-";"";
023015900000;"PODREGION LESZCZYŃSKI";"dzietność";"2015";1,462;"-";"";
023015900000;"PODREGION LESZCZYŃSKI";"dzietność";"2016";1,522;"-";"";
023015900000;"PODREGION LESZCZYŃSKI";"dzietność";"2017";1,666;"-";"";
023015900000;"PODREGION LESZCZYŃSKI";"dzietność";"2018";1,648;"-";"";
023015900000;"PODREGION LESZCZYŃSKI";"dzietność";"2019";1,616;"-";"";
023015900000;"PODREGION LESZCZYŃSKI";"dzietność";"2020";1,689;"-";"";
023015900000;"PODREGION LESZCZYŃSKI";"dzietność";"2021";1,568;"-";"";
023015900000;"PODREGION LESZCZYŃSKI";"dzietność";"2022";;"-";"n";
023016000000;"PODREGION PILSKI";"dzietność";"2002";1,434;"-";"";
023016000000;"PODREGION PILSKI";"dzietność";"2003";1,402;"-";"";
023016000000;"PODREGION PILSKI";"dzietność";"2004";1,384;"-";"";
023016000000;"PODREGION PILSKI";"dzietność";"2005";1,384;"-";"";
023016000000;"PODREGION PILSKI";"dzietność";"2006";1,417;"-";"";
023016000000;"PODREGION PILSKI";"dzietność";"2007";1,515;"-";"";
023016000000;"PODREGION PILSKI";"dzietność";"2008";1,566;"-";"";
023016000000;"PODREGION PILSKI";"dzietność";"2009";1,567;"-";"";
023016000000;"PODREGION PILSKI";"dzietność";"2010";1,510;"-";"";
023016000000;"PODREGION PILSKI";"dzietność";"2011";1,371;"-";"";
023016000000;"PODREGION PILSKI";"dzietność";"2012";1,387;"-";"";
023016000000;"PODREGION PILSKI";"dzietność";"2013";1,331;"-";"";
023016000000;"PODREGION PILSKI";"dzietność";"2014";1,328;"-";"";
023016000000;"PODREGION PILSKI";"dzietność";"2015";1,348;"-";"";
023016000000;"PODREGION PILSKI";"dzietność";"2016";1,395;"-";"";
023016000000;"PODREGION PILSKI";"dzietność";"2017";1,503;"-";"";
023016000000;"PODREGION PILSKI";"dzietność";"2018";1,440;"-";"";
023016000000;"PODREGION PILSKI";"dzietność";"2019";1,411;"-";"";
023016000000;"PODREGION PILSKI";"dzietność";"2020";1,486;"-";"";
023016000000;"PODREGION PILSKI";"dzietność";"2021";1,357;"-";"";
023016000000;"PODREGION PILSKI";"dzietność";"2022";;"-";"n";
023016100000;"PODREGION POZNAŃSKI";"dzietność";"2002";1,288;"-";"";
023016100000;"PODREGION POZNAŃSKI";"dzietność";"2003";1,303;"-";"";
023016100000;"PODREGION POZNAŃSKI";"dzietność";"2004";1,321;"-";"";
023016100000;"PODREGION POZNAŃSKI";"dzietność";"2005";1,355;"-";"";
023016100000;"PODREGION POZNAŃSKI";"dzietność";"2006";1,396;"-";"";
023016100000;"PODREGION POZNAŃSKI";"dzietność";"2007";1,474;"-";"";
023016100000;"PODREGION POZNAŃSKI";"dzietność";"2008";1,577;"-";"";
023016100000;"PODREGION POZNAŃSKI";"dzietność";"2009";1,527;"-";"";
023016100000;"PODREGION POZNAŃSKI";"dzietność";"2010";1,578;"-";"";
023016100000;"PODREGION POZNAŃSKI";"dzietność";"2011";1,463;"-";"";
023016100000;"PODREGION POZNAŃSKI";"dzietność";"2012";1,462;"-";"";
023016100000;"PODREGION POZNAŃSKI";"dzietność";"2013";1,409;"-";"";
023016100000;"PODREGION POZNAŃSKI";"dzietność";"2014";1,470;"-";"";
023016100000;"PODREGION POZNAŃSKI";"dzietność";"2015";1,536;"-";"";
023016100000;"PODREGION POZNAŃSKI";"dzietność";"2016";1,632;"-";"";
023016100000;"PODREGION POZNAŃSKI";"dzietność";"2017";1,774;"-";"";
023016100000;"PODREGION POZNAŃSKI";"dzietność";"2018";1,714;"-";"";
023016100000;"PODREGION POZNAŃSKI";"dzietność";"2019";1,690;"-";"";
023016100000;"PODREGION POZNAŃSKI";"dzietność";"2020";1,630;"-";"";
023016100000;"PODREGION POZNAŃSKI";"dzietność";"2021";1,587;"-";"";
023016100000;"PODREGION POZNAŃSKI";"dzietność";"2022";;"-";"n";
023016200000;"PODREGION MIASTO POZNAŃ";"dzietność";"2002";0,967;"-";"";
023016200000;"PODREGION MIASTO POZNAŃ";"dzietność";"2003";1,049;"-";"";
023016200000;"PODREGION MIASTO POZNAŃ";"dzietność";"2004";1,035;"-";"";
023016200000;"PODREGION MIASTO POZNAŃ";"dzietność";"2005";1,104;"-";"";
023016200000;"PODREGION MIASTO POZNAŃ";"dzietność";"2006";1,153;"-";"";
023016200000;"PODREGION MIASTO POZNAŃ";"dzietność";"2007";1,146;"-";"";
023016200000;"PODREGION MIASTO POZNAŃ";"dzietność";"2008";1,248;"-";"";
023016200000;"PODREGION MIASTO POZNAŃ";"dzietność";"2009";1,281;"-";"";
023016200000;"PODREGION MIASTO POZNAŃ";"dzietność";"2010";1,242;"-";"";
023016200000;"PODREGION MIASTO POZNAŃ";"dzietność";"2011";1,196;"-";"";
023016200000;"PODREGION MIASTO POZNAŃ";"dzietność";"2012";1,185;"-";"";
023016200000;"PODREGION MIASTO POZNAŃ";"dzietność";"2013";1,167;"-";"";
023016200000;"PODREGION MIASTO POZNAŃ";"dzietność";"2014";1,178;"-";"";
023016200000;"PODREGION MIASTO POZNAŃ";"dzietność";"2015";1,198;"-";"";
023016200000;"PODREGION MIASTO POZNAŃ";"dzietność";"2016";1,352;"-";"";
023016200000;"PODREGION MIASTO POZNAŃ";"dzietność";"2017";1,460;"-";"";
023016200000;"PODREGION MIASTO POZNAŃ";"dzietność";"2018";1,504;"-";"";
023016200000;"PODREGION MIASTO POZNAŃ";"dzietność";"2019";1,511;"-";"";
023016200000;"PODREGION MIASTO POZNAŃ";"dzietność";"2020";1,237;"-";"";
023016200000;"PODREGION MIASTO POZNAŃ";"dzietność";"2021";1,183;"-";"";
023016200000;"PODREGION MIASTO POZNAŃ";"dzietność";"2022";;"-";"n";
023216300000;"PODREGION KOSZALIŃSKI";"dzietność";"2002";1,248;"-";"";
023216300000;"PODREGION KOSZALIŃSKI";"dzietność";"2003";1,230;"-";"";
023216300000;"PODREGION KOSZALIŃSKI";"dzietność";"2004";1,251;"-";"";
023216300000;"PODREGION KOSZALIŃSKI";"dzietność";"2005";1,213;"-";"";
023216300000;"PODREGION KOSZALIŃSKI";"dzietność";"2006";1,271;"-";"";
023216300000;"PODREGION KOSZALIŃSKI";"dzietność";"2007";1,305;"-";"";
023216300000;"PODREGION KOSZALIŃSKI";"dzietność";"2008";1,342;"-";"";
023216300000;"PODREGION KOSZALIŃSKI";"dzietność";"2009";1,343;"-";"";
023216300000;"PODREGION KOSZALIŃSKI";"dzietność";"2010";1,305;"-";"";
023216300000;"PODREGION KOSZALIŃSKI";"dzietność";"2011";1,228;"-";"";
023216300000;"PODREGION KOSZALIŃSKI";"dzietność";"2012";1,231;"-";"";
023216300000;"PODREGION KOSZALIŃSKI";"dzietność";"2013";1,164;"-";"";
023216300000;"PODREGION KOSZALIŃSKI";"dzietność";"2014";1,204;"-";"";
023216300000;"PODREGION KOSZALIŃSKI";"dzietność";"2015";1,195;"-";"";
023216300000;"PODREGION KOSZALIŃSKI";"dzietność";"2016";1,302;"-";"";
023216300000;"PODREGION KOSZALIŃSKI";"dzietność";"2017";1,392;"-";"";
023216300000;"PODREGION KOSZALIŃSKI";"dzietność";"2018";1,356;"-";"";
023216300000;"PODREGION KOSZALIŃSKI";"dzietność";"2019";1,334;"-";"";
023216300000;"PODREGION KOSZALIŃSKI";"dzietność";"2020";1,321;"-";"";
023216300000;"PODREGION KOSZALIŃSKI";"dzietność";"2021";1,257;"-";"";
023216300000;"PODREGION KOSZALIŃSKI";"dzietność";"2022";;"-";"n";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"dzietność";"2002";1,359;"-";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"dzietność";"2003";1,329;"-";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"dzietność";"2004";1,336;"-";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"dzietność";"2005";1,356;"-";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"dzietność";"2006";1,350;"-";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"dzietność";"2007";1,383;"-";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"dzietność";"2008";1,457;"-";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"dzietność";"2009";1,453;"-";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"dzietność";"2010";1,399;"-";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"dzietność";"2011";1,288;"-";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"dzietność";"2012";1,311;"-";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"dzietność";"2013";1,274;"-";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"dzietność";"2014";1,277;"-";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"dzietność";"2015";1,235;"-";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"dzietność";"2016";1,271;"-";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"dzietność";"2017";1,314;"-";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"dzietność";"2018";1,231;"-";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"dzietność";"2019";1,200;"-";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"dzietność";"2020";1,333;"-";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"dzietność";"2021";1,242;"-";"";
023216400000;"PODREGION SZCZECINECKO-PYRZYCKI";"dzietność";"2022";;"-";"n";
023216500000;"PODREGION MIASTO SZCZECIN";"dzietność";"2002";1,017;"-";"";
023216500000;"PODREGION MIASTO SZCZECIN";"dzietność";"2003";1,052;"-";"";
023216500000;"PODREGION MIASTO SZCZECIN";"dzietność";"2004";1,062;"-";"";
023216500000;"PODREGION MIASTO SZCZECIN";"dzietność";"2005";1,080;"-";"";
023216500000;"PODREGION MIASTO SZCZECIN";"dzietność";"2006";1,072;"-";"";
023216500000;"PODREGION MIASTO SZCZECIN";"dzietność";"2007";1,155;"-";"";
023216500000;"PODREGION MIASTO SZCZECIN";"dzietność";"2008";1,244;"-";"";
023216500000;"PODREGION MIASTO SZCZECIN";"dzietność";"2009";1,208;"-";"";
023216500000;"PODREGION MIASTO SZCZECIN";"dzietność";"2010";1,136;"-";"";
023216500000;"PODREGION MIASTO SZCZECIN";"dzietność";"2011";1,053;"-";"";
023216500000;"PODREGION MIASTO SZCZECIN";"dzietność";"2012";1,092;"-";"";
023216500000;"PODREGION MIASTO SZCZECIN";"dzietność";"2013";1,048;"-";"";
023216500000;"PODREGION MIASTO SZCZECIN";"dzietność";"2014";1,132;"-";"";
023216500000;"PODREGION MIASTO SZCZECIN";"dzietność";"2015";1,158;"-";"";
023216500000;"PODREGION MIASTO SZCZECIN";"dzietność";"2016";1,254;"-";"";
023216500000;"PODREGION MIASTO SZCZECIN";"dzietność";"2017";1,384;"-";"";
023216500000;"PODREGION MIASTO SZCZECIN";"dzietność";"2018";1,414;"-";"";
023216500000;"PODREGION MIASTO SZCZECIN";"dzietność";"2019";1,379;"-";"";
023216500000;"PODREGION MIASTO SZCZECIN";"dzietność";"2020";1,224;"-";"";
023216500000;"PODREGION MIASTO SZCZECIN";"dzietność";"2021";1,250;"-";"";
023216500000;"PODREGION MIASTO SZCZECIN";"dzietność";"2022";;"-";"n";
023216600000;"PODREGION SZCZECIŃSKI";"dzietność";"2002";1,299;"-";"";
023216600000;"PODREGION SZCZECIŃSKI";"dzietność";"2003";1,243;"-";"";
023216600000;"PODREGION SZCZECIŃSKI";"dzietność";"2004";1,245;"-";"";
023216600000;"PODREGION SZCZECIŃSKI";"dzietność";"2005";1,249;"-";"";
023216600000;"PODREGION SZCZECIŃSKI";"dzietność";"2006";1,282;"-";"";
023216600000;"PODREGION SZCZECIŃSKI";"dzietność";"2007";1,322;"-";"";
023216600000;"PODREGION SZCZECIŃSKI";"dzietność";"2008";1,423;"-";"";
023216600000;"PODREGION SZCZECIŃSKI";"dzietność";"2009";1,384;"-";"";
023216600000;"PODREGION SZCZECIŃSKI";"dzietność";"2010";1,357;"-";"";
023216600000;"PODREGION SZCZECIŃSKI";"dzietność";"2011";1,261;"-";"";
023216600000;"PODREGION SZCZECIŃSKI";"dzietność";"2012";1,250;"-";"";
023216600000;"PODREGION SZCZECIŃSKI";"dzietność";"2013";1,276;"-";"";
023216600000;"PODREGION SZCZECIŃSKI";"dzietność";"2014";1,259;"-";"";
023216600000;"PODREGION SZCZECIŃSKI";"dzietność";"2015";1,244;"-";"";
023216600000;"PODREGION SZCZECIŃSKI";"dzietność";"2016";1,322;"-";"";
023216600000;"PODREGION SZCZECIŃSKI";"dzietność";"2017";1,386;"-";"";
023216600000;"PODREGION SZCZECIŃSKI";"dzietność";"2018";1,333;"-";"";
023216600000;"PODREGION SZCZECIŃSKI";"dzietność";"2019";1,289;"-";"";
023216600000;"PODREGION SZCZECIŃSKI";"dzietność";"2020";1,333;"-";"";
023216600000;"PODREGION SZCZECIŃSKI";"dzietność";"2021";1,278;"-";"";
023216600000;"PODREGION SZCZECIŃSKI";"dzietność";"2022";;"-";"n";
030210100000;"PODREGION JELENIOGÓRSKI";"dzietność";"2002";1,183;"-";"";
030210100000;"PODREGION JELENIOGÓRSKI";"dzietność";"2003";1,159;"-";"";
030210100000;"PODREGION JELENIOGÓRSKI";"dzietność";"2004";1,167;"-";"";
030210100000;"PODREGION JELENIOGÓRSKI";"dzietność";"2005";1,186;"-";"";
030210100000;"PODREGION JELENIOGÓRSKI";"dzietność";"2006";1,181;"-";"";
030210100000;"PODREGION JELENIOGÓRSKI";"dzietność";"2007";1,241;"-";"";
030210100000;"PODREGION JELENIOGÓRSKI";"dzietność";"2008";1,325;"-";"";
030210100000;"PODREGION JELENIOGÓRSKI";"dzietność";"2009";1,285;"-";"";
030210100000;"PODREGION JELENIOGÓRSKI";"dzietność";"2010";1,265;"-";"";
030210100000;"PODREGION JELENIOGÓRSKI";"dzietność";"2011";1,174;"-";"";
030210100000;"PODREGION JELENIOGÓRSKI";"dzietność";"2012";1,178;"-";"";
030210100000;"PODREGION JELENIOGÓRSKI";"dzietność";"2013";1,097;"-";"";
030210100000;"PODREGION JELENIOGÓRSKI";"dzietność";"2014";1,168;"-";"";
030210100000;"PODREGION JELENIOGÓRSKI";"dzietność";"2015";1,171;"-";"";
030210100000;"PODREGION JELENIOGÓRSKI";"dzietność";"2016";1,191;"-";"";
030210100000;"PODREGION JELENIOGÓRSKI";"dzietność";"2017";1,255;"-";"";
030210100000;"PODREGION JELENIOGÓRSKI";"dzietność";"2018";1,200;"-";"";
030210100000;"PODREGION JELENIOGÓRSKI";"dzietność";"2019";1,172;"-";"";
030210100000;"PODREGION JELENIOGÓRSKI";"dzietność";"2020";1,234;"-";"";
030210100000;"PODREGION JELENIOGÓRSKI";"dzietność";"2021";1,152;"-";"";
030210100000;"PODREGION JELENIOGÓRSKI";"dzietność";"2022";;"-";"n";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"dzietność";"2002";1,232;"-";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"dzietność";"2003";1,144;"-";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"dzietność";"2004";1,185;"-";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"dzietność";"2005";1,242;"-";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"dzietność";"2006";1,285;"-";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"dzietność";"2007";1,331;"-";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"dzietność";"2008";1,403;"-";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"dzietność";"2009";1,391;"-";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"dzietność";"2010";1,402;"-";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"dzietność";"2011";1,298;"-";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"dzietność";"2012";1,297;"-";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"dzietność";"2013";1,231;"-";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"dzietność";"2014";1,300;"-";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"dzietność";"2015";1,291;"-";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"dzietność";"2016";1,351;"-";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"dzietność";"2017";1,417;"-";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"dzietność";"2018";1,388;"-";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"dzietność";"2019";1,350;"-";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"dzietność";"2020";1,399;"-";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"dzietność";"2021";1,372;"-";"";
030210200000;"PODREGION LEGNICKO-GŁOGOWSKI";"dzietność";"2022";;"-";"n";
030210300000;"PODREGION WAŁBRZYSKI";"dzietność";"2002";1,147;"-";"";
030210300000;"PODREGION WAŁBRZYSKI";"dzietność";"2003";1,099;"-";"";
030210300000;"PODREGION WAŁBRZYSKI";"dzietność";"2004";1,121;"-";"";
030210300000;"PODREGION WAŁBRZYSKI";"dzietność";"2005";1,143;"-";"";
030210300000;"PODREGION WAŁBRZYSKI";"dzietność";"2006";1,132;"-";"";
030210300000;"PODREGION WAŁBRZYSKI";"dzietność";"2007";1,196;"-";"";
030210300000;"PODREGION WAŁBRZYSKI";"dzietność";"2008";1,271;"-";"";
030210300000;"PODREGION WAŁBRZYSKI";"dzietność";"2009";1,291;"-";"";
030210300000;"PODREGION WAŁBRZYSKI";"dzietność";"2010";1,227;"-";"";
030210300000;"PODREGION WAŁBRZYSKI";"dzietność";"2011";1,173;"-";"";
030210300000;"PODREGION WAŁBRZYSKI";"dzietność";"2012";1,153;"-";"";
030210300000;"PODREGION WAŁBRZYSKI";"dzietność";"2013";1,102;"-";"";
030210300000;"PODREGION WAŁBRZYSKI";"dzietność";"2014";1,174;"-";"";
030210300000;"PODREGION WAŁBRZYSKI";"dzietność";"2015";1,111;"-";"";
030210300000;"PODREGION WAŁBRZYSKI";"dzietność";"2016";1,139;"-";"";
030210300000;"PODREGION WAŁBRZYSKI";"dzietność";"2017";1,244;"-";"";
030210300000;"PODREGION WAŁBRZYSKI";"dzietność";"2018";1,189;"-";"";
030210300000;"PODREGION WAŁBRZYSKI";"dzietność";"2019";1,172;"-";"";
030210300000;"PODREGION WAŁBRZYSKI";"dzietność";"2020";1,227;"-";"";
030210300000;"PODREGION WAŁBRZYSKI";"dzietność";"2021";1,150;"-";"";
030210300000;"PODREGION WAŁBRZYSKI";"dzietność";"2022";;"-";"n";
030210400000;"PODREGION WROCŁAWSKI";"dzietność";"2002";1,249;"-";"";
030210400000;"PODREGION WROCŁAWSKI";"dzietność";"2003";1,162;"-";"";
030210400000;"PODREGION WROCŁAWSKI";"dzietność";"2004";1,237;"-";"";
030210400000;"PODREGION WROCŁAWSKI";"dzietność";"2005";1,238;"-";"";
030210400000;"PODREGION WROCŁAWSKI";"dzietność";"2006";1,283;"-";"";
030210400000;"PODREGION WROCŁAWSKI";"dzietność";"2007";1,302;"-";"";
030210400000;"PODREGION WROCŁAWSKI";"dzietność";"2008";1,424;"-";"";
030210400000;"PODREGION WROCŁAWSKI";"dzietność";"2009";1,431;"-";"";
030210400000;"PODREGION WROCŁAWSKI";"dzietność";"2010";1,394;"-";"";
030210400000;"PODREGION WROCŁAWSKI";"dzietność";"2011";1,308;"-";"";
030210400000;"PODREGION WROCŁAWSKI";"dzietność";"2012";1,315;"-";"";
030210400000;"PODREGION WROCŁAWSKI";"dzietność";"2013";1,258;"-";"";
030210400000;"PODREGION WROCŁAWSKI";"dzietność";"2014";1,322;"-";"";
030210400000;"PODREGION WROCŁAWSKI";"dzietność";"2015";1,313;"-";"";
030210400000;"PODREGION WROCŁAWSKI";"dzietność";"2016";1,432;"-";"";
030210400000;"PODREGION WROCŁAWSKI";"dzietność";"2017";1,521;"-";"";
030210400000;"PODREGION WROCŁAWSKI";"dzietność";"2018";1,524;"-";"";
030210400000;"PODREGION WROCŁAWSKI";"dzietność";"2019";1,514;"-";"";
030210400000;"PODREGION WROCŁAWSKI";"dzietność";"2020";1,473;"-";"";
030210400000;"PODREGION WROCŁAWSKI";"dzietność";"2021";1,472;"-";"";
030210400000;"PODREGION WROCŁAWSKI";"dzietność";"2022";;"-";"n";
030210500000;"PODREGION MIASTO WROCŁAW";"dzietność";"2002";0,893;"-";"";
030210500000;"PODREGION MIASTO WROCŁAW";"dzietność";"2003";0,925;"-";"";
030210500000;"PODREGION MIASTO WROCŁAW";"dzietność";"2004";0,950;"-";"";
030210500000;"PODREGION MIASTO WROCŁAW";"dzietność";"2005";0,970;"-";"";
030210500000;"PODREGION MIASTO WROCŁAW";"dzietność";"2006";1,053;"-";"";
030210500000;"PODREGION MIASTO WROCŁAW";"dzietność";"2007";1,070;"-";"";
030210500000;"PODREGION MIASTO WROCŁAW";"dzietność";"2008";1,173;"-";"";
030210500000;"PODREGION MIASTO WROCŁAW";"dzietność";"2009";1,192;"-";"";
030210500000;"PODREGION MIASTO WROCŁAW";"dzietność";"2010";1,206;"-";"";
030210500000;"PODREGION MIASTO WROCŁAW";"dzietność";"2011";1,132;"-";"";
030210500000;"PODREGION MIASTO WROCŁAW";"dzietność";"2012";1,102;"-";"";
030210500000;"PODREGION MIASTO WROCŁAW";"dzietność";"2013";1,091;"-";"";
030210500000;"PODREGION MIASTO WROCŁAW";"dzietność";"2014";1,161;"-";"";
030210500000;"PODREGION MIASTO WROCŁAW";"dzietność";"2015";1,144;"-";"";
030210500000;"PODREGION MIASTO WROCŁAW";"dzietność";"2016";1,283;"-";"";
030210500000;"PODREGION MIASTO WROCŁAW";"dzietność";"2017";1,331;"-";"";
030210500000;"PODREGION MIASTO WROCŁAW";"dzietność";"2018";1,470;"-";"";
030210500000;"PODREGION MIASTO WROCŁAW";"dzietność";"2019";1,499;"-";"";
030210500000;"PODREGION MIASTO WROCŁAW";"dzietność";"2020";1,177;"-";"";
030210500000;"PODREGION MIASTO WROCŁAW";"dzietność";"2021";1,166;"-";"";
030210500000;"PODREGION MIASTO WROCŁAW";"dzietność";"2022";;"-";"n";
031613100000;"PODREGION NYSKI";"dzietność";"2002";1,140;"-";"";
031613100000;"PODREGION NYSKI";"dzietność";"2003";1,104;"-";"";
031613100000;"PODREGION NYSKI";"dzietność";"2004";1,111;"-";"";
031613100000;"PODREGION NYSKI";"dzietność";"2005";1,131;"-";"";
031613100000;"PODREGION NYSKI";"dzietność";"2006";1,125;"-";"";
031613100000;"PODREGION NYSKI";"dzietność";"2007";1,151;"-";"";
031613100000;"PODREGION NYSKI";"dzietność";"2008";1,267;"-";"";
031613100000;"PODREGION NYSKI";"dzietność";"2009";1,269;"-";"";
031613100000;"PODREGION NYSKI";"dzietność";"2010";1,260;"-";"";
