"Kod";"Nazwa";"Współczynniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212300000;"PODREGION OŚWIĘCIMSKI";"dzietność";"2012";1,326;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"dzietność";"2013";1,287;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"dzietność";"2014";1,296;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"dzietność";"2015";1,304;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"dzietność";"2016";1,332;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"dzietność";"2017";1,431;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"dzietność";"2018";1,395;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"dzietność";"2019";1,393;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"dzietność";"2020";1,377;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"dzietność";"2021";1,335;"-";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"dzietność";"2022";;"-";"n";
011212400000;"PODREGION TARNOWSKI";"dzietność";"2002";1,395;"-";"";
011212400000;"PODREGION TARNOWSKI";"dzietność";"2003";1,310;"-";"";
011212400000;"PODREGION TARNOWSKI";"dzietność";"2004";1,284;"-";"";
011212400000;"PODREGION TARNOWSKI";"dzietność";"2005";1,259;"-";"";
011212400000;"PODREGION TARNOWSKI";"dzietność";"2006";1,238;"-";"";
011212400000;"PODREGION TARNOWSKI";"dzietność";"2007";1,251;"-";"";
011212400000;"PODREGION TARNOWSKI";"dzietność";"2008";1,373;"-";"";
011212400000;"PODREGION TARNOWSKI";"dzietność";"2009";1,355;"-";"";
011212400000;"PODREGION TARNOWSKI";"dzietność";"2010";1,322;"-";"";
011212400000;"PODREGION TARNOWSKI";"dzietność";"2011";1,263;"-";"";
011212400000;"PODREGION TARNOWSKI";"dzietność";"2012";1,301;"-";"";
011212400000;"PODREGION TARNOWSKI";"dzietność";"2013";1,252;"-";"";
011212400000;"PODREGION TARNOWSKI";"dzietność";"2014";1,235;"-";"";
011212400000;"PODREGION TARNOWSKI";"dzietność";"2015";1,217;"-";"";
011212400000;"PODREGION TARNOWSKI";"dzietność";"2016";1,263;"-";"";
011212400000;"PODREGION TARNOWSKI";"dzietność";"2017";1,376;"-";"";
011212400000;"PODREGION TARNOWSKI";"dzietność";"2018";1,381;"-";"";
011212400000;"PODREGION TARNOWSKI";"dzietność";"2019";1,324;"-";"";
011212400000;"PODREGION TARNOWSKI";"dzietność";"2020";1,369;"-";"";
011212400000;"PODREGION TARNOWSKI";"dzietność";"2021";1,296;"-";"";
011212400000;"PODREGION TARNOWSKI";"dzietność";"2022";;"-";"n";
011216900000;"PODREGION NOWOTARSKI";"dzietność";"2002";1,513;"-";"";
011216900000;"PODREGION NOWOTARSKI";"dzietność";"2003";1,455;"-";"";
011216900000;"PODREGION NOWOTARSKI";"dzietność";"2004";1,421;"-";"";
011216900000;"PODREGION NOWOTARSKI";"dzietność";"2005";1,447;"-";"";
011216900000;"PODREGION NOWOTARSKI";"dzietność";"2006";1,360;"-";"";
011216900000;"PODREGION NOWOTARSKI";"dzietność";"2007";1,459;"-";"";
011216900000;"PODREGION NOWOTARSKI";"dzietność";"2008";1,526;"-";"";
011216900000;"PODREGION NOWOTARSKI";"dzietność";"2009";1,507;"-";"";
011216900000;"PODREGION NOWOTARSKI";"dzietność";"2010";1,469;"-";"";
011216900000;"PODREGION NOWOTARSKI";"dzietność";"2011";1,432;"-";"";
011216900000;"PODREGION NOWOTARSKI";"dzietność";"2012";1,392;"-";"";
011216900000;"PODREGION NOWOTARSKI";"dzietność";"2013";1,342;"-";"";
011216900000;"PODREGION NOWOTARSKI";"dzietność";"2014";1,309;"-";"";
011216900000;"PODREGION NOWOTARSKI";"dzietność";"2015";1,346;"-";"";
011216900000;"PODREGION NOWOTARSKI";"dzietność";"2016";1,412;"-";"";
011216900000;"PODREGION NOWOTARSKI";"dzietność";"2017";1,489;"-";"";
011216900000;"PODREGION NOWOTARSKI";"dzietność";"2018";1,437;"-";"";
011216900000;"PODREGION NOWOTARSKI";"dzietność";"2019";1,464;"-";"";
011216900000;"PODREGION NOWOTARSKI";"dzietność";"2020";1,463;"-";"";
011216900000;"PODREGION NOWOTARSKI";"dzietność";"2021";1,417;"-";"";
011216900000;"PODREGION NOWOTARSKI";"dzietność";"2022";;"-";"n";
012414400000;"PODREGION BIELSKI";"dzietność";"2002";1,246;"-";"";
012414400000;"PODREGION BIELSKI";"dzietność";"2003";1,225;"-";"";
012414400000;"PODREGION BIELSKI";"dzietność";"2004";1,238;"-";"";
012414400000;"PODREGION BIELSKI";"dzietność";"2005";1,261;"-";"";
012414400000;"PODREGION BIELSKI";"dzietność";"2006";1,303;"-";"";
012414400000;"PODREGION BIELSKI";"dzietność";"2007";1,341;"-";"";
012414400000;"PODREGION BIELSKI";"dzietność";"2008";1,408;"-";"";
012414400000;"PODREGION BIELSKI";"dzietność";"2009";1,439;"-";"";
012414400000;"PODREGION BIELSKI";"dzietność";"2010";1,429;"-";"";
012414400000;"PODREGION BIELSKI";"dzietność";"2011";1,382;"-";"";
012414400000;"PODREGION BIELSKI";"dzietność";"2012";1,369;"-";"";
012414400000;"PODREGION BIELSKI";"dzietność";"2013";1,337;"-";"";
012414400000;"PODREGION BIELSKI";"dzietność";"2014";1,376;"-";"";
012414400000;"PODREGION BIELSKI";"dzietność";"2015";1,376;"-";"";
012414400000;"PODREGION BIELSKI";"dzietność";"2016";1,421;"-";"";
012414400000;"PODREGION BIELSKI";"dzietność";"2017";1,523;"-";"";
012414400000;"PODREGION BIELSKI";"dzietność";"2018";1,495;"-";"";
012414400000;"PODREGION BIELSKI";"dzietność";"2019";1,454;"-";"";
012414400000;"PODREGION BIELSKI";"dzietność";"2020";1,485;"-";"";
012414400000;"PODREGION BIELSKI";"dzietność";"2021";1,421;"-";"";
012414400000;"PODREGION BIELSKI";"dzietność";"2022";;"-";"n";
012414500000;"PODREGION BYTOMSKI";"dzietność";"2002";1,076;"-";"";
012414500000;"PODREGION BYTOMSKI";"dzietność";"2003";1,053;"-";"";
012414500000;"PODREGION BYTOMSKI";"dzietność";"2004";1,075;"-";"";
012414500000;"PODREGION BYTOMSKI";"dzietność";"2005";1,077;"-";"";
