"Kod";"Nazwa";"Wyszczególnienie";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2003";2005,17;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2004";2135,88;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2005";2182,59;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2006";2292,52;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2007";2503,35;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2008";2709,07;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2009";2847,04;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2010";2912,37;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2011";3050,99;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2012";3132,64;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2013";3269,93;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2014";3384,20;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2015";3488,71;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2016";3637,14;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2017";3861,09;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2018";4146,85;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2019";4460,97;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2020";4773,53;"zł";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2021";5216,18;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2002";1757,93;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2003";1852,60;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2004";1916,03;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2005";1960,45;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2006";2085,42;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2007";2299,90;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2008";2529,45;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2009";2697,36;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2010";2833,49;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2011";2992,46;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2012";3093,61;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2013";3177,39;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2014";3264,92;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2015";3392,08;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2016";3502,00;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2017";3670,53;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2018";3879,02;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2019";4622,36;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2020";5009,76;"zł";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2021";5400,26;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2002";1742,35;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2003";1818,39;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2004";1869,07;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2005";1938,31;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2006";2024,28;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2007";2201,44;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2008";2436,89;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2009";2585,37;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2010";2657,01;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2011";2814,33;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2012";2931,46;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2013";3017,16;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2014";3150,27;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2015";3257,39;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2016";3348,10;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2017";3574,34;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2018";3871,74;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2019";4117,96;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2020";4437,14;"zł";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2021";4818,64;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2002";2052,41;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2003";2127,94;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2004";2197,12;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2005";2256,93;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2006";2389,15;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2007";2643,40;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2008";2893,30;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2009";3054,29;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2010";3195,96;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2011";3332,71;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2012";3447,62;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2013";3587,49;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2014";3734,24;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2015";3858,04;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2016";3987,70;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2017";4237,15;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2018";4483,74;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2019";4798,83;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2020";5041,14;"zł";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2021";5482,88;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2002";2105,32;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2003";1952,43;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2004";2003,31;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2005";2095,57;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2006";2216,62;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2007";2425,96;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2008";2686,17;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2009";2804,53;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2010";2937,36;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2011";3106,61;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2012";3199,75;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2013";3299,45;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2014";3418,34;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2015";3759,71;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2016";3880,27;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2017";4057,91;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2018";4419,00;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2019";4711,94;"zł";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2020";4979,03;"zł";"";
