"Kod";"Nazwa";"Ogółem";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2006";105;"osoba";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2007";105;"osoba";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2008";105;"osoba";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2009";106;"osoba";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2010";105;"osoba";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2011";105;"osoba";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2012";105;"osoba";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2013";105;"osoba";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2014";105;"osoba";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2015";105;"osoba";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2016";105;"osoba";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2017";105;"osoba";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2018";105;"osoba";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2019";105;"osoba";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2020";106;"osoba";"";
011212300000;"PODREGION OŚWIĘCIMSKI";"ogółem";"2021";106;"osoba";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2002";104;"osoba";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2003";104;"osoba";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2004";104;"osoba";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2005";104;"osoba";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2006";104;"osoba";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2007";104;"osoba";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2008";104;"osoba";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2009";104;"osoba";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2010";104;"osoba";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2011";104;"osoba";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2012";104;"osoba";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2013";104;"osoba";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2014";104;"osoba";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2015";104;"osoba";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2016";104;"osoba";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2017";104;"osoba";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2018";104;"osoba";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2019";104;"osoba";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2020";104;"osoba";"";
011212400000;"PODREGION TARNOWSKI";"ogółem";"2021";104;"osoba";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2002";104;"osoba";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2003";104;"osoba";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2004";105;"osoba";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2005";105;"osoba";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2006";105;"osoba";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2007";105;"osoba";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2008";105;"osoba";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2009";105;"osoba";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2010";104;"osoba";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2011";104;"osoba";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2012";104;"osoba";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2013";104;"osoba";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2014";104;"osoba";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2015";104;"osoba";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2016";104;"osoba";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2017";104;"osoba";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2018";104;"osoba";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2019";104;"osoba";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2020";105;"osoba";"";
011216900000;"PODREGION NOWOTARSKI";"ogółem";"2021";105;"osoba";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2002";108;"osoba";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2003";108;"osoba";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2004";108;"osoba";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2005";108;"osoba";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2006";108;"osoba";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2007";108;"osoba";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2008";108;"osoba";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2009";108;"osoba";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2010";107;"osoba";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2011";107;"osoba";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2012";107;"osoba";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2013";107;"osoba";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2014";107;"osoba";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2015";107;"osoba";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2016";107;"osoba";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2017";107;"osoba";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2018";107;"osoba";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2019";107;"osoba";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2020";107;"osoba";"";
012414400000;"PODREGION BIELSKI";"ogółem";"2021";107;"osoba";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2002";105;"osoba";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2003";105;"osoba";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2004";106;"osoba";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2005";106;"osoba";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2006";106;"osoba";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2007";106;"osoba";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2008";106;"osoba";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2009";106;"osoba";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2010";106;"osoba";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2011";107;"osoba";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2012";107;"osoba";"";
012414500000;"PODREGION BYTOMSKI";"ogółem";"2013";107;"osoba";"";
