"Kod";"Nazwa";"Wiek";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"1998";49766;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"1999";49772;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2000";50887;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2001";51785;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2002";53079;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2003";54680;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2004";56025;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2005";56689;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2006";56778;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2007";56231;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2008";55048;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2009";54041;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2010";52834;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2011";52518;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2012";52077;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2013";51262;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2014";50204;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2015";48920;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2016";46975;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2017";45212;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2018";43763;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2019";42231;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2020";40202;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"20-24";"ogółem";"2021";39908;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"1995";42420;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"1996";43104;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"1997";44095;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"1998";44694;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"1999";44724;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2000";45909;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2001";47484;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2002";48951;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2003";50593;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2004";51619;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"25-29";"ogółem";"2005";52962;"osoba";"";
