"Kod";"Nazwa";"Wiek";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2018";6585;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2019";5402;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2020";7564;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2021";6378;"osoba";"";
011212000000;"PODREGION KRAKOWSKI";"ogółem";"kobiety";"2022";5661;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2000";24454;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2001";29746;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2002";30132;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2003";29926;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2004";26905;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2005";25324;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2006";20308;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2007";14407;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2008";10628;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2009";16021;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2010";18722;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2011";19400;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2012";23863;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2013";24685;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2014";21948;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2015";19607;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2016";16213;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2017";12959;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2018";11467;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2019";9899;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2020";15713;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2021";14576;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"ogółem";"2022";12112;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2000";10256;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2001";13451;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2002";14175;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2003";13996;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2004";12135;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2005";11351;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2006";8702;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2007";5797;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2008";4704;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2009";8241;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2010";9165;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2011";9472;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2012";11909;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2013";12537;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2014";11091;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2015";9869;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2016";7986;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2017";6275;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2018";5507;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2019";4885;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2020";7988;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2021";7667;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"mężczyźni";"2022";5956;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2000";14198;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2001";16295;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2002";15957;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2003";15930;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2004";14770;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2005";13973;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2006";11606;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2007";8610;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2008";5924;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2009";7780;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2010";9557;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2011";9928;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2012";11954;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2013";12148;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2014";10857;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2015";9738;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2016";8227;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2017";6684;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2018";5960;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2019";5014;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2020";7725;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2021";6909;"osoba";"";
011212100000;"PODREGION MIASTO KRAKÓW";"ogółem";"kobiety";"2022";6156;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2000";45482;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2001";51805;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2002";50488;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2003";50599;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2004";48928;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2005";43976;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2006";37531;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2007";29781;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2008";25035;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2009";30979;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2010";32984;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2011";33216;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2012";35026;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2013";35601;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2014";29471;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2015";26330;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2016";19731;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2017";15846;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2018";14332;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2019";13235;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2020";16221;"osoba";"";
011212200000;"PODREGION NOWOSĄDECKI";"ogółem";"ogółem";"2021";13276;"osoba";"";
