"Kod";"Nazwa";"Świadczenie wychowawcze";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
051011900000;"PODREGION SKIERNIEWICKI";"wydatki na świadczenia wychowawcze";"2017";228184272;"zł";"";
051011900000;"PODREGION SKIERNIEWICKI";"wydatki na świadczenia wychowawcze";"2018";213825151;"zł";"";
051011900000;"PODREGION SKIERNIEWICKI";"wydatki na świadczenia wychowawcze";"2019";292493967;"zł";"";
051011900000;"PODREGION SKIERNIEWICKI";"wydatki na świadczenia wychowawcze";"2020";381144347;"zł";"";
051011900000;"PODREGION SKIERNIEWICKI";"wydatki na świadczenia wychowawcze";"2021";363287213;"zł";"";
052615200000;"PODREGION KIELECKI";"wydatki na świadczenia wychowawcze";"2017";447544965;"zł";"";
052615200000;"PODREGION KIELECKI";"wydatki na świadczenia wychowawcze";"2018";423653815;"zł";"";
052615200000;"PODREGION KIELECKI";"wydatki na świadczenia wychowawcze";"2019";551706510;"zł";"";
052615200000;"PODREGION KIELECKI";"wydatki na świadczenia wychowawcze";"2020";702652336;"zł";"";
052615200000;"PODREGION KIELECKI";"wydatki na świadczenia wychowawcze";"2021";695720851;"zł";"";
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";"wydatki na świadczenia wychowawcze";"2017";312049572;"zł";"";
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";"wydatki na świadczenia wychowawcze";"2018";290277607;"zł";"";
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";"wydatki na świadczenia wychowawcze";"2019";357762755;"zł";"";
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";"wydatki na świadczenia wychowawcze";"2020";446449782;"zł";"";
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";"wydatki na świadczenia wychowawcze";"2021";437280227;"zł";"";
060610900000;"PODREGION BIALSKI";"wydatki na świadczenia wychowawcze";"2017";229922506;"zł";"";
060610900000;"PODREGION BIALSKI";"wydatki na świadczenia wychowawcze";"2018";217103945;"zł";"";
060610900000;"PODREGION BIALSKI";"wydatki na świadczenia wychowawcze";"2019";256519660;"zł";"";
060610900000;"PODREGION BIALSKI";"wydatki na świadczenia wychowawcze";"2020";309492164;"zł";"";
060610900000;"PODREGION BIALSKI";"wydatki na świadczenia wychowawcze";"2021";305223161;"zł";"";
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";"wydatki na świadczenia wychowawcze";"2017";401295031;"zł";"";
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";"wydatki na świadczenia wychowawcze";"2018";378090164;"zł";"";
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";"wydatki na świadczenia wychowawcze";"2019";458115393;"zł";"";
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";"wydatki na świadczenia wychowawcze";"2020";564495807;"zł";"";
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";"wydatki na świadczenia wychowawcze";"2021";552180069;"zł";"";
060611100000;"PODREGION LUBELSKI";"wydatki na świadczenia wychowawcze";"2017";433878132;"zł";"";
060611100000;"PODREGION LUBELSKI";"wydatki na świadczenia wychowawcze";"2018";417523816;"zł";"";
060611100000;"PODREGION LUBELSKI";"wydatki na świadczenia wychowawcze";"2019";572346009;"zł";"";
060611100000;"PODREGION LUBELSKI";"wydatki na świadczenia wychowawcze";"2020";753589265;"zł";"";
060611100000;"PODREGION LUBELSKI";"wydatki na świadczenia wychowawcze";"2021";746034910;"zł";"";
060611200000;"PODREGION PUŁAWSKI";"wydatki na świadczenia wychowawcze";"2017";345331737;"zł";"";
060611200000;"PODREGION PUŁAWSKI";"wydatki na świadczenia wychowawcze";"2018";325171050;"zł";"";
060611200000;"PODREGION PUŁAWSKI";"wydatki na świadczenia wychowawcze";"2019";392612763;"zł";"";
060611200000;"PODREGION PUŁAWSKI";"wydatki na świadczenia wychowawcze";"2020";479469410;"zł";"";
060611200000;"PODREGION PUŁAWSKI";"wydatki na świadczenia wychowawcze";"2021";469617839;"zł";"";
061813300000;"PODREGION KROŚNIEŃSKI";"wydatki na świadczenia wychowawcze";"2017";323593724;"zł";"";
061813300000;"PODREGION KROŚNIEŃSKI";"wydatki na świadczenia wychowawcze";"2018";308179565;"zł";"";
061813300000;"PODREGION KROŚNIEŃSKI";"wydatki na świadczenia wychowawcze";"2019";381673845;"zł";"";
061813300000;"PODREGION KROŚNIEŃSKI";"wydatki na świadczenia wychowawcze";"2020";475360887;"zł";"";
061813300000;"PODREGION KROŚNIEŃSKI";"wydatki na świadczenia wychowawcze";"2021";469256869;"zł";"";
061813400000;"PODREGION PRZEMYSKI";"wydatki na świadczenia wychowawcze";"2017";266001630;"zł";"";
061813400000;"PODREGION PRZEMYSKI";"wydatki na świadczenia wychowawcze";"2018";252024375;"zł";"";
061813400000;"PODREGION PRZEMYSKI";"wydatki na świadczenia wychowawcze";"2019";309938083;"zł";"";
061813400000;"PODREGION PRZEMYSKI";"wydatki na świadczenia wychowawcze";"2020";383754757;"zł";"";
061813400000;"PODREGION PRZEMYSKI";"wydatki na świadczenia wychowawcze";"2021";377604789;"zł";"";
061813500000;"PODREGION RZESZOWSKI";"wydatki na świadczenia wychowawcze";"2017";445822149;"zł";"";
061813500000;"PODREGION RZESZOWSKI";"wydatki na świadczenia wychowawcze";"2018";431832595;"zł";"";
061813500000;"PODREGION RZESZOWSKI";"wydatki na świadczenia wychowawcze";"2019";567789349;"zł";"";
061813500000;"PODREGION RZESZOWSKI";"wydatki na świadczenia wychowawcze";"2020";725210216;"zł";"";
061813500000;"PODREGION RZESZOWSKI";"wydatki na świadczenia wychowawcze";"2021";729225462;"zł";"";
061813600000;"PODREGION TARNOBRZESKI";"wydatki na świadczenia wychowawcze";"2017";401883252;"zł";"";
061813600000;"PODREGION TARNOBRZESKI";"wydatki na świadczenia wychowawcze";"2018";382607355;"zł";"";
061813600000;"PODREGION TARNOBRZESKI";"wydatki na świadczenia wychowawcze";"2019";486706751;"zł";"";
061813600000;"PODREGION TARNOBRZESKI";"wydatki na świadczenia wychowawcze";"2020";610267844;"zł";"";
061813600000;"PODREGION TARNOBRZESKI";"wydatki na świadczenia wychowawcze";"2021";605859901;"zł";"";
062013700000;"PODREGION BIAŁOSTOCKI";"wydatki na świadczenia wychowawcze";"2017";297581353;"zł";"";
062013700000;"PODREGION BIAŁOSTOCKI";"wydatki na świadczenia wychowawcze";"2018";291060454;"zł";"";
062013700000;"PODREGION BIAŁOSTOCKI";"wydatki na świadczenia wychowawcze";"2019";402248373;"zł";"";
062013700000;"PODREGION BIAŁOSTOCKI";"wydatki na świadczenia wychowawcze";"2020";525101623;"zł";"";
062013700000;"PODREGION BIAŁOSTOCKI";"wydatki na świadczenia wychowawcze";"2021";531158158;"zł";"";
062013800000;"PODREGION ŁOMŻYŃSKI";"wydatki na świadczenia wychowawcze";"2017";265696478;"zł";"";
062013800000;"PODREGION ŁOMŻYŃSKI";"wydatki na świadczenia wychowawcze";"2018";253230370;"zł";"";
062013800000;"PODREGION ŁOMŻYŃSKI";"wydatki na świadczenia wychowawcze";"2019";306979978;"zł";"";
062013800000;"PODREGION ŁOMŻYŃSKI";"wydatki na świadczenia wychowawcze";"2020";373309258;"zł";"";
062013800000;"PODREGION ŁOMŻYŃSKI";"wydatki na świadczenia wychowawcze";"2021";370850874;"zł";"";
062013900000;"PODREGION SUWALSKI";"wydatki na świadczenia wychowawcze";"2017";190637961;"zł";"";
062013900000;"PODREGION SUWALSKI";"wydatki na świadczenia wychowawcze";"2018";181800815;"zł";"";
062013900000;"PODREGION SUWALSKI";"wydatki na świadczenia wychowawcze";"2019";222381342;"zł";"";
062013900000;"PODREGION SUWALSKI";"wydatki na świadczenia wychowawcze";"2020";268932291;"zł";"";
062013900000;"PODREGION SUWALSKI";"wydatki na świadczenia wychowawcze";"2021";267917245;"zł";"";
071412800000;"PODREGION MIASTO WARSZAWA";"wydatki na świadczenia wychowawcze";"2017";789820490;"zł";"";
071412800000;"PODREGION MIASTO WARSZAWA";"wydatki na świadczenia wychowawcze";"2018";777561789;"zł";"";
071412800000;"PODREGION MIASTO WARSZAWA";"wydatki na świadczenia wychowawcze";"2019";1366004134;"zł";"";
071412800000;"PODREGION MIASTO WARSZAWA";"wydatki na świadczenia wychowawcze";"2020";1997689909;"zł";"";
071412800000;"PODREGION MIASTO WARSZAWA";"wydatki na świadczenia wychowawcze";"2021";2000028366;"zł";"";
071412900000;"PODREGION WARSZAWSKI WSCHODNI";"wydatki na świadczenia wychowawcze";"2017";458990927;"zł";"";
071412900000;"PODREGION WARSZAWSKI WSCHODNI";"wydatki na świadczenia wychowawcze";"2018";448625701;"zł";"";
071412900000;"PODREGION WARSZAWSKI WSCHODNI";"wydatki na świadczenia wychowawcze";"2019";650836090;"zł";"";
071412900000;"PODREGION WARSZAWSKI WSCHODNI";"wydatki na świadczenia wychowawcze";"2020";865517856;"zł";"";
071412900000;"PODREGION WARSZAWSKI WSCHODNI";"wydatki na świadczenia wychowawcze";"2021";876220795;"zł";"";
071413000000;"PODREGION WARSZAWSKI ZACHODNI";"wydatki na świadczenia wychowawcze";"2017";400873279;"zł";"";
071413000000;"PODREGION WARSZAWSKI ZACHODNI";"wydatki na świadczenia wychowawcze";"2018";394593849;"zł";"";
071413000000;"PODREGION WARSZAWSKI ZACHODNI";"wydatki na świadczenia wychowawcze";"2019";619974042;"zł";"";
071413000000;"PODREGION WARSZAWSKI ZACHODNI";"wydatki na świadczenia wychowawcze";"2020";858973486;"zł";"";
071413000000;"PODREGION WARSZAWSKI ZACHODNI";"wydatki na świadczenia wychowawcze";"2021";872028850;"zł";"";
071422500000;"PODREGION CIECHANOWSKI";"wydatki na świadczenia wychowawcze";"2017";252246629;"zł";"";
071422500000;"PODREGION CIECHANOWSKI";"wydatki na świadczenia wychowawcze";"2018";238019433;"zł";"";
071422500000;"PODREGION CIECHANOWSKI";"wydatki na świadczenia wychowawcze";"2019";297670672;"zł";"";
071422500000;"PODREGION CIECHANOWSKI";"wydatki na świadczenia wychowawcze";"2020";365849786;"zł";"";
071422500000;"PODREGION CIECHANOWSKI";"wydatki na świadczenia wychowawcze";"2021";363052042;"zł";"";
071422600000;"PODREGION OSTROŁĘCKI";"wydatki na świadczenia wychowawcze";"2017";305783960;"zł";"";
071422600000;"PODREGION OSTROŁĘCKI";"wydatki na świadczenia wychowawcze";"2018";292013803;"zł";"";
071422600000;"PODREGION OSTROŁĘCKI";"wydatki na świadczenia wychowawcze";"2019";356662729;"zł";"";
071422600000;"PODREGION OSTROŁĘCKI";"wydatki na świadczenia wychowawcze";"2020";430286940;"zł";"";
071422600000;"PODREGION OSTROŁĘCKI";"wydatki na świadczenia wychowawcze";"2021";427407139;"zł";"";
071422700000;"PODREGION RADOMSKI";"wydatki na świadczenia wychowawcze";"2017";439474356;"zł";"";
071422700000;"PODREGION RADOMSKI";"wydatki na świadczenia wychowawcze";"2018";417914065;"zł";"";
071422700000;"PODREGION RADOMSKI";"wydatki na świadczenia wychowawcze";"2019";519299291;"zł";"";
071422700000;"PODREGION RADOMSKI";"wydatki na świadczenia wychowawcze";"2020";634569826;"zł";"";
071422700000;"PODREGION RADOMSKI";"wydatki na świadczenia wychowawcze";"2021";627529464;"zł";"";
071427000000;"PODREGION PŁOCKI";"wydatki na świadczenia wychowawcze";"2017";207169489;"zł";"";
071427000000;"PODREGION PŁOCKI";"wydatki na świadczenia wychowawcze";"2018";195496952;"zł";"";
071427000000;"PODREGION PŁOCKI";"wydatki na świadczenia wychowawcze";"2019";259132265;"zł";"";
071427000000;"PODREGION PŁOCKI";"wydatki na świadczenia wychowawcze";"2020";332497689;"zł";"";
071427000000;"PODREGION PŁOCKI";"wydatki na świadczenia wychowawcze";"2021";327749187;"zł";"";
071427100000;"PODREGION SIEDLECKI";"wydatki na świadczenia wychowawcze";"2017";325359542;"zł";"";
071427100000;"PODREGION SIEDLECKI";"wydatki na świadczenia wychowawcze";"2018";310882103;"zł";"";
071427100000;"PODREGION SIEDLECKI";"wydatki na świadczenia wychowawcze";"2019";391150939;"zł";"";
071427100000;"PODREGION SIEDLECKI";"wydatki na świadczenia wychowawcze";"2020";483095696;"zł";"";
071427100000;"PODREGION SIEDLECKI";"wydatki na świadczenia wychowawcze";"2021";481821458;"zł";"";
071427300000;"PODREGION ŻYRARDOWSKI";"wydatki na świadczenia wychowawcze";"2017";176544298;"zł";"";
071427300000;"PODREGION ŻYRARDOWSKI";"wydatki na świadczenia wychowawcze";"2018";169326340;"zł";"";
071427300000;"PODREGION ŻYRARDOWSKI";"wydatki na świadczenia wychowawcze";"2019";229528056;"zł";"";
071427300000;"PODREGION ŻYRARDOWSKI";"wydatki na świadczenia wychowawcze";"2020";295626098;"zł";"";
071427300000;"PODREGION ŻYRARDOWSKI";"wydatki na świadczenia wychowawcze";"2021";294865171;"zł";"";
