"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212400000;"PODREGION TARNOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2014";40;"-";"";
011212400000;"PODREGION TARNOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2015";47;"-";"";
011212400000;"PODREGION TARNOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2016";54;"-";"";
011212400000;"PODREGION TARNOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2017";54;"-";"";
011212400000;"PODREGION TARNOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2018";61;"-";"";
011212400000;"PODREGION TARNOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2019";66;"-";"";
011212400000;"PODREGION TARNOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2020";76;"-";"";
011212400000;"PODREGION TARNOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2021";85;"-";"";
011216900000;"PODREGION NOWOTARSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2012";;"-";"";
011216900000;"PODREGION NOWOTARSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2013";;"-";"";
011216900000;"PODREGION NOWOTARSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2014";13;"-";"";
011216900000;"PODREGION NOWOTARSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2015";18;"-";"";
011216900000;"PODREGION NOWOTARSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2016";27;"-";"";
011216900000;"PODREGION NOWOTARSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2017";33;"-";"";
011216900000;"PODREGION NOWOTARSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2018";40;"-";"";
011216900000;"PODREGION NOWOTARSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2019";44;"-";"";
011216900000;"PODREGION NOWOTARSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2020";42;"-";"";
011216900000;"PODREGION NOWOTARSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2021";45;"-";"";
012414400000;"PODREGION BIELSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2012";;"-";"";
012414400000;"PODREGION BIELSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2013";;"-";"";
012414400000;"PODREGION BIELSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2014";47;"-";"";
012414400000;"PODREGION BIELSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2015";49;"-";"";
012414400000;"PODREGION BIELSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2016";56;"-";"";
012414400000;"PODREGION BIELSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2017";69;"-";"";
012414400000;"PODREGION BIELSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2018";76;"-";"";
012414400000;"PODREGION BIELSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2019";95;"-";"";
012414400000;"PODREGION BIELSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2020";109;"-";"";
012414400000;"PODREGION BIELSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2021";137;"-";"";
012414500000;"PODREGION BYTOMSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2012";;"-";"";
012414500000;"PODREGION BYTOMSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2013";;"-";"";
012414500000;"PODREGION BYTOMSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2014";39;"-";"";
012414500000;"PODREGION BYTOMSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2015";44;"-";"";
012414500000;"PODREGION BYTOMSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2016";47;"-";"";
012414500000;"PODREGION BYTOMSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2017";50;"-";"";
012414500000;"PODREGION BYTOMSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2018";71;"-";"";
012414500000;"PODREGION BYTOMSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2019";107;"-";"";
012414500000;"PODREGION BYTOMSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2020";133;"-";"";
012414500000;"PODREGION BYTOMSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2021";140;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2012";;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2013";;"-";"";
012414600000;"PODREGION CZĘSTOCHOWSKI";"miejsca w żłobkach i klubach dziecięcych na 1000 dzieci w wieku do lat 3";"2014";20;"-";"";
