"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
011212000000;"PODREGION KRAKOWSKI";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2007";5,7;"-";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2008";5,4;"-";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2009";5,5;"-";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2010";5,7;"-";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2011";5,8;"-";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2012";5,5;"-";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2013";5,6;"-";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2014";5,5;"-";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2015";5,6;"-";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2016";5,5;"-";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2017";5,4;"-";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2018";5,4;"-";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2019";5,3;"-";"";
011212000000;"PODREGION KRAKOWSKI";"przeciętna liczba izb w 1 mieszkaniu oddanym do użytkowania";"2020";4,9;"-";"";
